0;16.0437314659039;_a7_;{'d0': {'_a7_': 0.48823217841557354, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 5.231930825293317};32.0874629318078;0.0
1;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
2;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
3;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
4;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
5;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
6;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
7;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
8;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
9;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
10;-0.972204981403351;y;{'d0': {'_a7_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 3.176632225637546};-1.94440996280670;0.0
