0;19.6574702640870;_a6_;{'d0': {'_a6_': 0.49915563956523623, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a7_': 1.0}};{'d0': 5.901687650940423};39.3149405281739;0.0
1;-1.28406832243522;(_a7_ * y);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
2;-1.28406832243522;(_a7_ * y);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
3;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
4;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
5;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
6;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
7;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
8;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
9;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
10;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
11;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
12;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
13;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
14;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
15;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
16;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
17;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
18;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
19;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
20;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
21;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
22;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
23;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
24;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
25;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
26;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
27;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
28;-1.28406832243522;(_a7_ * x);{'d0': {'_a7_': 1.2930868944915206, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 2.5078976121635623};-12.0326727778524;4.732268066491
