,x,y,z,rep,noise,z_noise,zmodel
0,-1.0,0.0,-3.05,1,0.0673093713252138,-2.98269062867479,-3.039047848655217
1,-0.975,0.0,-2.86222828125,1,-0.0717500559186189,-2.93397833716862,-2.85430449923695
2,-0.95,0.0,-2.68420125,1,0.0611877909046353,-2.62301345909536,-2.6768748758461434
3,-0.925,0.0,-2.51560109375,1,0.0215374706181946,-2.49406362313181,-2.5073815088146127
4,-0.9,0.0,-2.35611,1,-0.059962149541284,-2.41607214954128,-2.346263552983639
5,-0.875,0.0,-2.20541015625,1,0.0043875649237802,-2.20102259132622,-2.193785315702346
6,-0.85,0.0,-2.06318375,1,0.116636304553132,-1.94654744544687,-2.050050963814258
7,-0.825,0.0,-1.92911296875,1,-0.0097351224428726,-1.93884809119287,-1.9150234291490567
8,-0.8,0.0,-1.80288,1,-0.0194277605863829,-1.82230776058638,-1.7885456219220963
9,-0.775,0.0,-1.68416703125,1,0.0618467779589796,-1.62232025329102,-1.6703623144866002
10,-0.75,0.0,-1.57265625,1,-0.104901495478275,-1.67755774547827,-1.5601413983593588
11,-0.725,0.0,-1.46802984375,1,-0.0536262663133354,-1.52165611006333,-1.4574935809005223
12,-0.7,0.0,-1.36997,1,-0.103744694030738,-1.47371469403074,-1.3619899280379844
13,-0.675,0.0,-1.27815890625,1,-0.0694641494382147,-1.34762305568821,-1.2731769483629403
14,-0.65,0.0,-1.19227875,1,0.104688101980148,-1.08759064801985,-1.190589140074313
15,-0.625,0.0,-1.11201171875,1,0.144993193940648,-0.967018524809351,-1.1137590853742296
16,-0.6,0.0,-1.03704,1,0.0236207544228897,-1.01341924557711,-1.0422252837847679
17,-0.575,0.0,-0.967045781249999,1,-0.0219234205932673,-0.988969201843267,-0.9755379766004628
18,-0.55,0.0,-0.901711249999999,1,-0.135202740854777,-1.03691399085478,-0.9132632402332445
19,-0.525,0.0,-0.840718593749999,1,-0.0140780755343589,-0.854796669284358,-0.8549856266891042
20,-0.5,0.0,-0.783749999999999,1,-0.0063139342997205,-0.79006393429972,-0.8003096134197359
21,-0.475,0.0,-0.730487656249999,1,0.0099991786169902,-0.720488477633009,-0.7488600990874057
22,-0.45,0.0,-0.680613749999999,1,-0.0463709071680038,-0.726984657168003,-0.7002821514000267
23,-0.425,0.0,-0.633810468749999,1,-0.152906968993515,-0.786717437743514,-0.654240181644551
24,-0.399999999999999,0.0,-0.589759999999999,1,-0.112041181885403,-0.701801181885402,-0.6104166901899719
25,-0.374999999999999,0.0,-0.548144531249999,1,0.146151722403733,-0.401992808846266,-0.5685106994452092
26,-0.349999999999999,0.0,-0.508646249999999,1,-0.0746604831174055,-0.583306733117405,-0.5282359662776709
27,-0.324999999999999,0.0,-0.470947343749999,1,-0.0021865027291544,-0.473133846479154,-0.4893190450077803
28,-0.299999999999999,0.0,-0.434729999999999,1,-0.0326317904601013,-0.4673617904601,-0.4514972547873774
29,-0.274999999999999,0.0,-0.399676406249999,1,-0.0261995138160837,-0.425875920066083,-0.4145165912753476
30,-0.249999999999999,0.0,-0.365468749999999,1,0.0471140914014276,-0.318354658598571,-0.3781296117958488
31,-0.224999999999999,0.0,-0.331789218749999,1,-0.0571636980831934,-0.388952916833193,-0.3420933153446617
32,-0.199999999999999,0.0,-0.298319999999999,1,-0.0069520691008737,-0.305272069100873,-0.3061670336681789
33,-0.174999999999999,0.0,-0.264743281249999,1,0.0217210562698879,-0.243022224980111,-0.27011034700586306
34,-0.149999999999999,0.0,-0.230741249999999,1,0.0737221208137997,-0.157019129186199,-0.23368103786342942
35,-0.124999999999999,0.0,-0.195996093749999,1,-0.153320338979801,-0.3493164327298,-0.1966330983563319
36,-0.0999999999999992,0.0,-0.160189999999999,1,0.0508185184244122,-0.109371481575587,-0.15871481130281276
37,-0.0749999999999991,0.0,-0.123005156249999,1,0.0684702691165495,-0.0545348871334493,-0.11966693250399711
38,-0.0499999999999991,0.0,-0.0841237499999986,1,-0.0614153529152732,-0.145539102915272,-0.07922101174335307
39,-0.0249999999999991,0.0,-0.0432279687499985,1,-0.0073262216261769,-0.0505541903761755,-0.03709790322731017
40,8.881784197001249e-16,0.0,1.5809575870662202e-15,1,-0.189923349826861,-0.18992334982686,0.0069934672718576655
41,0.0250000000000008,0.0,0.0458779687500015,1,-0.165538375853067,-0.119660407103066,0.05335699123730075
42,0.0500000000000009,0.0,0.0947237500000018,1,0.0207493286642264,0.115473078664228,0.10230981124525558
43,0.075000000000001,0.0,0.146855156250002,1,0.0489886899667228,0.195843846216725,0.15418216202977297
44,0.100000000000001,0.0,0.202590000000002,1,0.0416449038840614,0.244234903884064,0.20931645175900276
